Customer ID,Frequency,Monetary,Avg_Order_Value,Total_Returns
1,3,6290,2096.6666666666665,0
2,6,16481,2746.8333333333335,4
3,4,9423,2355.75,0
4,5,7826,1565.2,3
5,5,9769,1953.8,3
6,9,25428,2825.3333333333335,5
7,8,17825,2228.125,3
8,7,16245,2320.714285714286,5
9,7,24621,3517.285714285714,3
10,8,20672,2584.0,2
11,8,17730,2216.25,4
12,7,16756,2393.714285714286,0
13,5,13798,2759.6,1
14,5,14119,2823.8,1
15,5,16533,3306.6,3
16,3,7196,2398.6666666666665,1
17,8,22968,2871.0,1
18,2,4859,2429.5,0
19,5,12232,2446.4,3
20,4,17443,4360.75,2
21,5,10598,2119.6,1
22,5,14137,2827.4,0
23,7,18733,2676.1428571428573,2
24,4,11413,2853.25,1
25,3,9876,3292.0,2
26,3,9845,3281.6666666666665,1
27,4,12554,3138.5,3
28,4,16765,4191.25,1
29,5,13240,2648.0,2
30,4,8047,2011.75,2
31,6,16430,2738.3333333333335,2
32,5,11953,2390.6,3
33,7,24987,3569.5714285714284,3
34,1,658,658.0,1
35,8,24174,3021.75,5
36,4,11107,2776.75,1
37,8,15557,1944.625,4
38,4,11437,2859.25,2
39,7,20951,2993.0,3
40,6,16453,2742.1666666666665,3
41,7,25741,3677.285714285714,4
42,6,18931,3155.1666666666665,1
43,5,17364,3472.8,2
44,4,11927,2981.75,2
45,7,23309,3329.8571428571427,1
46,8,22536,2817.0,1
47,8,18507,2313.375,4
48,3,11983,3994.3333333333335,1
49,2,6868,3434.0,1
50,4,11595,2898.75,3
51,11,29769,2706.2727272727275,4
52,8,18753,2344.125,2
53,4,8902,2225.5,1
54,5,15001,3000.2,2
55,5,15117,3023.4,3
56,4,11599,2899.75,2
57,5,17134,3426.8,2
58,4,6959,1739.75,0
59,7,26988,3855.4285714285716,0
60,8,19803,2475.375,2
61,4,6388,1597.0,1
62,3,11855,3951.6666666666665,3
63,6,23109,3851.5,3
64,3,6620,2206.6666666666665,1
65,6,12404,2067.3333333333335,3
66,6,18045,3007.5,3
67,2,5269,2634.5,1
68,3,10642,3547.3333333333335,1
69,3,8622,2874.0,0
70,9,24074,2674.8888888888887,2
71,2,2540,1270.0,1
72,7,17152,2450.285714285714,4
73,2,5460,2730.0,1
74,5,9391,1878.2,0
75,3,7176,2392.0,1
76,2,8123,4061.5,1
77,2,4495,2247.5,1
78,4,10920,2730.0,2
79,3,7066,2355.3333333333335,1
80,10,22648,2264.8,4
81,5,12760,2552.0,2
82,4,6949,1737.25,2
83,8,16211,2026.375,6
84,3,2557,852.3333333333334,0
85,7,16901,2414.4285714285716,3
86,6,12123,2020.5,1
87,2,5436,2718.0,1
88,5,11135,2227.0,1
89,7,18361,2623.0,0
90,6,14780,2463.3333333333335,1
91,6,14816,2469.3333333333335,2
92,3,11784,3928.0,1
93,3,10025,3341.6666666666665,1
94,6,15378,2563.0,2
95,4,9736,2434.0,1
96,7,22981,3283.0,2
97,3,6636,2212.0,1
98,6,20950,3491.6666666666665,0
99,4,11211,2802.75,1
100,8,19950,2493.75,5
101,8,27360,3420.0,3
102,1,1259,1259.0,1
103,7,24077,3439.5714285714284,5
104,4,13848,3462.0,4
105,4,7530,1882.5,2
106,3,8311,2770.3333333333335,0
107,4,8393,2098.25,4
108,11,31386,2853.2727272727275,1
109,5,18510,3702.0,1
110,3,3558,1186.0,1
111,5,9692,1938.4,3
112,2,4378,2189.0,0
113,4,7328,1832.0,2
114,5,11568,2313.6,3
115,7,13470,1924.2857142857142,3
116,4,11725,2931.25,0
117,6,22130,3688.3333333333335,3
118,6,17754,2959.0,1
119,6,18014,3002.3333333333335,2
120,5,10470,2094.0,1
121,5,13615,2723.0,3
122,5,18104,3620.8,3
123,3,12829,4276.333333333333,1
124,2,2308,1154.0,2
125,6,17497,2916.1666666666665,0
126,3,12680,4226.666666666667,3
127,1,3872,3872.0,0
128,2,3931,1965.5,2
129,6,14527,2421.1666666666665,2
130,4,15849,3962.25,1
131,4,6668,1667.0,1
132,3,10091,3363.6666666666665,1
133,8,25725,3215.625,2
134,4,12344,3086.0,1
135,6,13476,2246.0,3
136,8,22890,2861.25,2
137,8,24134,3016.75,2
138,2,2907,1453.5,2
139,7,15036,2148.0,3
140,3,8230,2743.3333333333335,1
141,9,26395,2932.777777777778,3
142,2,4184,2092.0,2
143,8,22505,2813.125,5
144,6,17553,2925.5,2
145,10,26432,2643.2,6
146,2,9457,4728.5,1
147,7,14477,2068.1428571428573,1
148,2,6506,3253.0,0
149,6,17913,2985.5,3
150,1,1743,1743.0,0
151,8,10760,1345.0,2
152,4,14097,3524.25,2
153,7,18398,2628.285714285714,4
154,11,31167,2833.3636363636365,6
155,6,17420,2903.3333333333335,4
156,5,16715,3343.0,1
157,8,23819,2977.375,1
158,4,7295,1823.75,1
159,3,4391,1463.6666666666667,0
160,2,8840,4420.0,1
161,5,18246,3649.2,1
162,4,13299,3324.75,0
163,4,9704,2426.0,1
164,4,7890,1972.5,1
165,6,14544,2424.0,3
166,9,29342,3260.222222222222,3
167,4,8508,2127.0,2
169,8,15868,1983.5,5
170,8,24385,3048.125,4
171,1,4206,4206.0,0
172,6,10493,1748.8333333333333,1
173,5,15597,3119.4,2
174,2,3347,1673.5,1
175,4,10189,2547.25,2
176,7,13361,1908.7142857142858,5
177,4,12377,3094.25,3
178,9,21604,2400.4444444444443,2
179,5,20456,4091.2,1
180,1,473,473.0,1
181,3,7779,2593.0,1
182,7,17243,2463.285714285714,5
183,3,5468,1822.6666666666667,1
184,9,26985,2998.3333333333335,5
185,9,24331,2703.4444444444443,5
186,3,9097,3032.3333333333335,1
187,1,2670,2670.0,0
188,4,7701,1925.25,0
189,2,6569,3284.5,2
190,1,4361,4361.0,0
191,2,4200,2100.0,0
192,8,28832,3604.0,4
193,5,12514,2502.8,3
194,6,10066,1677.6666666666667,1
195,6,18840,3140.0,1
196,5,13926,2785.2,3
197,4,10354,2588.5,1
198,7,17553,2507.5714285714284,3
199,6,14136,2356.0,2
200,8,20775,2596.875,2
201,2,3149,1574.5,0
202,6,15209,2534.8333333333335,2
203,3,6566,2188.6666666666665,1
204,12,29420,2451.6666666666665,6
205,11,23103,2100.2727272727275,4
206,6,18103,3017.1666666666665,4
207,8,21171,2646.375,2
208,8,21596,2699.5,2
209,7,17402,2486.0,5
210,7,19595,2799.285714285714,2
211,10,20362,2036.2,6
212,6,15762,2627.0,2
213,6,10744,1790.6666666666667,5
214,3,11660,3886.6666666666665,2
215,4,11725,2931.25,1
216,8,26535,3316.875,0
217,5,8551,1710.2,1
218,8,21620,2702.5,3
219,6,13360,2226.6666666666665,4
220,4,7400,1850.0,1
221,6,21964,3660.6666666666665,1
222,4,10799,2699.75,2
223,4,10202,2550.5,1
224,6,16799,2799.8333333333335,2
225,3,7280,2426.6666666666665,2
226,5,12910,2582.0,3
227,4,9489,2372.25,2
228,4,7175,1793.75,0
229,6,18119,3019.8333333333335,4
230,10,29553,2955.3,8
231,6,15841,2640.1666666666665,0
232,6,23483,3913.8333333333335,3
233,5,15177,3035.4,2
234,4,7910,1977.5,0
235,4,14572,3643.0,2
236,10,22060,2206.0,4
237,7,17112,2444.5714285714284,4
238,8,25783,3222.875,3
239,7,20511,2930.1428571428573,3
240,4,7011,1752.75,1
241,3,3491,1163.6666666666667,2
242,3,5090,1696.6666666666667,3
243,7,19370,2767.1428571428573,3
