Customer ID,Recency,Frequency,Monetary,Customer Age,Total_Returns,Churn
1,288,3,6290,67,0,0
2,72,6,16481,42,4,0
3,222,4,9423,31,0,0
4,441,5,7826,37,3,0
5,424,5,9769,24,3,0
6,140,9,25428,34,5,0
7,141,8,17825,22,3,1
8,25,7,16245,66,5,0
9,140,7,24621,39,3,0
10,130,8,20672,49,2,0
11,102,8,17730,67,4,1
12,113,7,16756,31,0,0
13,258,5,13798,60,1,0
14,263,5,14119,42,1,0
15,81,5,16533,38,3,1
16,104,3,7196,67,1,0
17,102,8,22968,32,1,0
18,426,2,4859,52,0,0
19,517,5,12232,37,3,0
20,76,4,17443,42,2,0
21,265,5,10598,20,1,1
22,13,5,14137,40,0,0
23,134,7,18733,33,2,0
24,144,4,11413,69,1,0
25,353,3,9876,18,2,0
26,184,3,9845,50,1,0
27,238,4,12554,45,3,1
28,308,4,16765,56,1,0
29,571,5,13240,54,2,0
30,57,4,8047,33,2,1
31,153,6,16430,50,2,0
32,863,5,11953,39,3,0
33,486,7,24987,41,3,1
34,300,1,658,57,1,1
35,269,8,24174,65,5,0
36,25,4,11107,38,1,0
37,32,8,15557,52,4,0
38,236,4,11437,44,2,0
39,472,7,20951,36,3,0
40,277,6,16453,32,3,0
41,234,7,25741,70,4,0
42,19,6,18931,22,1,0
43,120,5,17364,60,2,0
44,68,4,11927,28,2,0
45,20,7,23309,70,1,1
46,145,8,22536,37,1,0
47,240,8,18507,18,4,0
48,24,3,11983,36,1,1
49,795,2,6868,63,1,0
50,198,4,11595,38,3,0
51,319,11,29769,18,4,0
52,82,8,18753,58,2,0
53,170,4,8902,23,1,0
54,120,5,15001,28,2,0
55,271,5,15117,35,3,0
56,539,4,11599,51,2,0
57,323,5,17134,31,2,0
58,156,4,6959,59,0,0
59,56,7,26988,39,0,1
60,292,8,19803,24,2,0
61,87,4,6388,33,1,1
62,486,3,11855,19,3,0
63,363,6,23109,23,3,1
64,706,3,6620,38,1,0
65,66,6,12404,32,3,1
66,47,6,18045,53,3,0
67,295,2,5269,62,1,0
68,835,3,10642,48,1,1
69,225,3,8622,22,0,0
70,5,9,24074,38,2,1
71,429,2,2540,43,1,1
72,165,7,17152,25,4,0
73,570,2,5460,68,1,0
74,131,5,9391,59,0,0
75,208,3,7176,65,1,0
76,102,2,8123,40,1,0
77,778,2,4495,58,1,0
78,598,4,10920,51,2,1
79,790,3,7066,43,1,0
80,349,10,22648,34,4,0
81,346,5,12760,42,2,0
82,98,4,6949,21,2,0
83,158,8,16211,24,6,0
84,69,3,2557,49,0,0
85,253,7,16901,27,3,0
86,272,6,12123,21,1,0
87,243,2,5436,46,1,0
88,418,5,11135,33,1,0
89,1,7,18361,24,0,1
90,0,6,14780,27,1,1
91,91,6,14816,54,2,0
92,263,3,11784,58,1,0
93,297,3,10025,51,1,0
94,87,6,15378,38,2,0
95,108,4,9736,63,1,0
